latitude,longitude,signal_strength_dbm,signal_quality_db,data_throughput_mbps,latency_ms,network_type
25.5941,85.1376,-62,-4,28.5,25,4G
25.6104,85.1487,-64,-5,26.0,28,4G
25.5800,85.1200,-67,-5,22.0,32,4G
25.5700,85.1600,-65,-4,25.0,27,4G
25.6200,85.1100,-68,-6,20.0,35,4G
25.5500,85.1800,-70,-7,18.5,40,4G
25.5300,85.0900,-72,-7,16.0,45,4G
25.6400,85.0800,-71,-6,17.5,42,4G
24.7814,84.9994,-75,-9,12.0,58,4G
24.8000,85.0200,-77,-9,10.5,65,4G
24.7600,85.0100,-80,-10,8.0,75,3G
24.7200,84.9700,-83,-11,6.5,90,3G
26.1197,85.3910,-74,-8,13.0,55,4G
26.1400,85.4100,-76,-9,11.0,62,4G
26.1000,85.3700,-79,-10,9.0,70,3G
26.0700,85.3400,-84,-12,5.0,95,3G
25.2542,87.0100,-73,-8,14.0,52,4G
25.2700,87.0300,-75,-9,12.5,58,4G
25.2300,86.9900,-78,-10,9.5,68,4G
25.2000,86.9600,-82,-11,6.0,88,3G
26.1542,85.8918,-74,-8,13.5,54,4G
26.1700,85.9100,-76,-9,11.5,60,4G
26.1300,85.8700,-79,-10,9.0,72,3G
25.7776,87.4753,-75,-9,12.0,58,4G
25.7900,87.4900,-77,-9,10.5,64,4G
25.7600,87.4600,-80,-11,8.0,74,3G
26.6506,84.9153,-76,-9,11.0,62,4G
26.6700,84.9300,-79,-10,8.5,72,3G
26.6300,84.9000,-83,-12,5.5,92,3G
26.5930,85.4862,-76,-9,11.5,60,4G
26.6100,85.5100,-79,-11,8.0,73,3G
25.8618,85.7815,-75,-9,12.5,56,4G
25.8800,85.8000,-78,-10,9.5,68,3G
25.4182,86.1272,-74,-8,13.0,55,4G
25.4400,86.1500,-77,-9,10.5,63,4G
25.8763,86.5964,-75,-9,11.0,61,4G
25.8900,86.6200,-78,-10,9.0,70,3G
25.3742,86.4718,-74,-8,13.5,53,4G
25.3900,86.4900,-77,-10,10.0,63,4G
25.0053,85.4378,-80,-11,7.5,78,3G
25.0200,85.4600,-83,-12,5.5,90,3G
24.9800,85.4100,-86,-13,3.5,110,3G
25.2011,85.5237,-78,-10,10.0,68,4G
25.2200,85.5400,-80,-11,8.0,77,3G
25.2047,84.9920,-79,-10,9.0,72,3G
25.1800,84.9700,-83,-12,5.5,92,3G
25.2499,84.6819,-80,-11,8.0,78,3G
25.2700,84.6600,-84,-13,5.0,98,3G
24.7522,84.3740,-82,-12,6.0,88,3G
24.7700,84.3900,-85,-13,4.5,100,3G
24.7300,84.3500,-88,-14,3.0,120,2G
24.9451,84.0303,-83,-12,5.5,95,3G
24.9600,84.0500,-87,-14,3.0,115,2G
24.9200,83.9900,-91,-16,1.5,170,2G
25.0508,83.6126,-84,-13,5.0,100,3G
25.0700,83.6300,-88,-14,3.0,125,2G
25.0300,83.5900,-93,-17,1.0,200,2G
24.9900,83.5600,-98,-18,0.5,280,2G
25.5635,83.9780,-80,-11,8.0,75,3G
25.5800,84.0000,-83,-12,5.5,90,3G
25.5400,83.9500,-87,-14,3.5,115,2G
25.5564,84.6632,-78,-10,10.0,68,3G
25.5700,84.6800,-81,-11,7.5,80,3G
25.5400,84.6400,-85,-13,4.5,100,3G
25.7788,84.7474,-77,-9,11.0,62,4G
25.8000,84.7700,-79,-10,9.0,72,3G
25.7600,84.7200,-83,-12,5.5,92,3G
26.2218,84.3558,-78,-10,10.0,68,3G
26.2400,84.3800,-81,-11,7.5,80,3G
26.2000,84.3300,-85,-13,4.5,103,3G
26.4691,84.4272,-79,-11,8.5,73,3G
26.4900,84.4500,-83,-12,5.5,93,3G
26.4500,84.4000,-87,-14,3.0,118,2G
26.8037,84.5036,-81,-11,7.0,82,3G
26.8200,84.5200,-85,-13,4.5,105,3G
26.7800,84.4800,-89,-15,2.5,140,2G
26.7500,84.4500,-94,-17,1.0,210,2G
26.5189,85.2946,-79,-10,9.0,71,3G
26.5400,85.3200,-82,-12,6.0,88,3G
26.5000,85.2700,-86,-14,3.5,112,2G
25.6904,85.2088,-72,-8,16.0,46,4G
25.7100,85.2300,-74,-8,13.5,53,4G
25.6700,85.1900,-77,-9,11.0,62,4G
26.3520,86.0705,-76,-9,11.5,60,4G
26.3700,86.0900,-78,-10,9.5,70,3G
26.3300,86.0500,-81,-11,7.0,82,3G
26.1201,86.6031,-77,-10,10.5,64,3G
26.1400,86.6300,-80,-11,7.5,76,3G
26.1000,86.5800,-84,-13,5.0,98,3G
26.0963,87.9434,-78,-10,9.5,70,3G
26.1200,87.9700,-81,-11,7.0,82,3G
26.0700,87.9100,-85,-13,4.5,103,3G
26.0400,87.8800,-90,-16,1.5,165,2G
26.1472,87.4534,-77,-9,10.5,64,3G
26.1700,87.4800,-80,-11,7.5,76,3G
25.5399,87.5766,-76,-9,11.5,60,4G
25.5600,87.6000,-79,-10,9.0,71,3G
25.5200,87.5500,-82,-11,6.5,87,3G
25.9197,86.7916,-77,-10,10.5,65,3G
25.9400,86.8100,-80,-11,7.5,77,3G
25.5021,86.4696,-75,-9,12.0,58,4G
25.5200,86.4900,-78,-10,9.5,68,3G
25.1407,85.8509,-79,-10,9.5,70,3G
25.1600,85.8700,-82,-11,7.0,84,3G
24.8874,85.5440,-81,-11,7.0,81,3G
24.9100,85.5700,-84,-13,4.5,99,3G
24.8600,85.5100,-88,-15,2.5,135,2G
24.9280,86.2242,-80,-11,8.0,75,3G
24.9500,86.2500,-83,-12,5.5,93,3G
24.9000,86.2000,-87,-14,3.0,118,2G
25.1559,86.0993,-78,-10,9.5,68,3G
25.1800,86.1200,-81,-11,7.0,81,3G
24.8804,86.9217,-81,-11,7.0,80,3G
24.9000,86.9400,-84,-12,5.0,98,3G
24.8600,86.9000,-88,-15,2.5,135,2G
25.3000,85.8000,-88,-14,2.5,130,2G
25.1000,85.2000,-90,-15,1.5,160,2G
24.6000,84.5000,-95,-17,0.8,240,2G
26.0000,83.8000,-93,-17,1.0,200,2G
26.8000,85.8000,-91,-16,1.5,175,2G
25.0000,87.5000,-89,-15,2.0,150,2G
26.5000,86.5000,-87,-14,3.0,120,2G
24.5000,85.8000,-96,-18,0.5,270,2G
26.9000,84.2000,-97,-18,0.4,290,2G
25.2000,83.3500,-100,-19,0.2,350,2G
26.7000,87.8000,-102,-19,0.2,380,2G
